Year,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,JAN_FEB,MAR_MAY,JUN_SEP,OCT_DEC
1951,89.9,304.4,1747.4,1133.4,97.1,1095.3,1974.7,187.1,8.2,546.9,1736.3,322.5,4.1,656.3,1562.7,386.2,1.5,331.7,2154.5,195.4,0.4,142.7,894.5,176.5,2.2,174.8,1026.6,192.6,5.5,98.2,889.7,78.2,8.8,36.8,771.1,33.5,38.3,30.2,669.3,14.8,24.6,53.1,626,25.2,95.7,139.1,882,57.4,8.7,54.2,247.7,27.7,28.2,85.3,347.6,38.3,181.7,266.8,690,100,206.6,305.3,369.8,81.3,0.1,27.9,137.9,13.9,2,17,324.6,19.3,5.7,10,610.7,23.2,40.3,70.9,1028.4,35.9,0,2.7,454.1,21.5,0,35.1,2481.7,332.6,0.1,39.4,608.3,149.1,0.4,28,621.1,81.9,5.2,67.6,927.4,82.1,7.3,196.6,1109.4,98.2,1.2,149.4,779.4,166.1,0,107.3,728.3,65.1,0.1,140.4,284,113.9,12.6,224.9,322.5,295.1,0,127,2733.6,263.6,0,85.6,510.4,112.4,11,117.5,505.8,237.5,13.1,366,1823,503.5,53.2,273.6,1169,219.5,27.25142857,183.0857143,964.2714286,163.4583333
1952,0.8,562,1824.8,692.3,41.7,576.2,1446.7,331.5,14.8,729,1785.2,322.4,16.1,651.2,1742.7,400.9,23.4,669.9,2404.3,173.1,1.4,199.9,1032.2,162.1,9.8,123.7,1203.4,179.9,14.6,118.2,1162,92.5,11.4,101.6,1074.5,19.3,15.6,45.8,867.5,7.1,26.5,34.2,804.8,9.7,100.5,180.2,1175.9,21.2,26,25.3,501.9,3.2,40.1,41.1,480.8,4,169.2,293.4,742.8,58.2,182.3,305,489.6,92.6,3.7,2.9,259.9,0.6,4,3.4,701.2,4.2,9.5,4.2,806.4,9,28.1,14.3,1100.6,12.3,0,0.3,774.5,1.8,0,26.3,2342.3,153.4,1.9,27.8,596.2,57.5,19.1,25.1,463.2,38.7,10.6,17.5,745.5,34.1,21.2,60.4,1250,64.8,17.4,135.2,476.5,287.5,16.9,45.6,571.9,95.3,4.3,196.9,249.8,250.2,61.4,97.1,219.2,338.7,0.5,120.2,2414.8,361.1,8,130.4,334.8,155.3,2.6,106.1,836.8,310.4,53.4,347.6,1477.7,456.1,32.5,164.8,619.3,307.9,28.26571429,176.6514286,999.42,153.025
1953,121.3,420.5,1627.1,552.9,163.3,765.8,1617.5,NA,31.3,762.4,1603.4,162.9,23.8,641.9,1825.9,169.9,39,405.8,2039.1,110.2,39.9,80.3,1291,94.6,45.8,37.7,1245.3,109,46.3,36.6,1383.7,42.7,33.9,62.7,1262,20.2,38.7,19.6,1203.3,5.3,37.5,13.3,709.4,1.7,132.9,124.2,1263.9,44.8,41.1,10,503.3,7.5,48.6,10.4,542.3,10.2,201.1,221.8,919.1,83.7,182,225.4,699.1,123.1,5.9,7.3,290.7,0.5,32.3,3.8,546.6,3.3,19.1,3.1,756.9,14.6,21.3,9.1,959.8,16.9,12.6,0.4,1041,1.4,0,15.4,3156,156.3,1.2,26.5,749.8,116.1,0.3,15.9,786.9,88.1,5,21.6,1060.5,50.7,29.4,28.6,1254.8,57.4,13.8,64.9,660.6,250.7,5.1,30.5,1058.9,177.5,1.7,59,389.5,345.4,28.8,148.5,396.5,394.2,0.3,56.8,3089.9,316.3,0,44.8,598,248.4,2.3,174.5,670.3,183.9,35.7,206.3,1825.1,477.8,51.2,59.6,937.7,557.7,42.64285714,137.5714286,1141.854286,142.74
1954,85.9,487,2419.4,456.7,NA,NA,2875.9,204.3,67.6,796.9,1812.6,182,65.2,503.3,2031.2,305.4,25.9,390,2549.9,89.7,18.2,100.5,875,86.3,6.8,78.1,990.8,132.4,20.8,37.6,958.3,42.9,20.9,42.3,970.7,16.6,68.6,5.2,862,33.8,102.5,11.8,665,99.9,273.6,55,1368.7,165.5,117.1,14.5,361.2,44.2,123,11.9,481.6,16.6,468.3,152.4,1026.4,70.5,559,150.5,531.4,66.2,15,1.4,231.1,3,23.5,4.9,613.5,24,24.2,6.6,1052.6,17.3,28.9,9.6,1031.8,6.4,2.2,5.7,1205.5,34.7,2.4,14.6,3715.7,57.5,2.4,37.8,898.5,46.4,0.4,26.3,851.4,21.6,0.8,16.5,1077.5,5.6,4.9,22.5,1148.4,17.8,0.3,54.5,820.4,278.4,0,31.9,851.2,45.4,13.4,56.1,411.4,304.5,80.2,190.3,335.1,410.6,0.5,172.5,3502.2,146.2,0,81.5,527.4,74.3,1,227.4,577.5,196.1,26.3,407,2107.4,397.2,74.1,176.7,991.1,313.6,68.35,128.8470588,1220.851429,122.6
1955,85.5,742.2,1648.3,873.6,165.9,870,3338.7,688.9,18.7,682.5,1812.6,247.4,11.9,655.5,1789,408.7,7.4,326.6,2596.9,62,5.2,83.8,953.4,225.9,0.3,114.4,1167,315.3,53.4,34.8,880.7,111.8,26.7,42.5,1139,36.1,44,7.6,1273.6,99.2,50.5,7.7,808.9,193.7,98.9,112.8,1172.8,282.4,34.7,27.7,498.8,132.8,36.5,64,500.6,372.8,207,343.8,939,429.4,62.8,302.2,599.3,192,4.6,12.9,352.5,21.3,13.1,4.1,752.9,74.5,29,3.6,977.1,139.5,73.9,8.1,1219.4,119.6,0.4,4,919.8,51.5,0.2,48,3537.9,311.3,3.2,44.7,763.7,169.4,6.5,18,1016.2,110.5,15.8,14.2,1169.5,169.3,16.3,39.9,1207.8,176.6,5.4,282.9,688.2,402.4,1,40.5,1040,121.7,16.2,154.3,451.7,194.1,37,245,337.4,441.1,0.3,394.9,2762.4,394.9,0.1,133.1,690,143.9,1.8,133.5,718.1,390.3,10.5,698.3,1849.7,576.1,50.5,340.6,926.6,230.6,34.14857143,201.1057143,1214.271429,247.5166667
1956,126.4,656,1604.4,693.3,221.1,922.7,2792.6,259.1,33,859.9,1706.7,203.3,19.6,691.7,2015.7,295.6,16.2,628.4,1991.4,249.6,38.3,217.9,1283.7,174.2,39.3,148.2,1499.5,198.4,39.6,134.6,1218.4,163.2,24,90.4,1166.2,212.9,27.2,53.1,959,214.9,27.4,35,788.5,213.6,65.4,252.8,1222.3,402.4,19.7,28.9,468.9,136.3,28.4,51.2,525.3,145.6,141.2,291.4,791.9,317.1,200.3,314.5,811.6,194.4,3.3,7.3,317.1,46.5,6.5,11.7,742.6,168,11.7,53,886.8,114.3,19.6,34.1,1313.3,148.8,0.1,26.6,1229,110.9,0.3,182.2,3240.2,241,1.7,103.6,889.3,239.2,3.1,82.6,801.2,150.4,3.2,54.1,980.6,86.7,16.1,78.5,1378.1,84.2,7.5,118.1,888.3,394.7,2.2,60.6,904.1,153.5,3.7,115.6,475.6,336,23.4,70.4,369.6,526.3,0.8,492.1,2944.5,419.1,2.8,95.3,673.7,267.1,0.5,196.9,611.6,255.6,19.6,518,1720.1,540.6,41.3,311.6,705.5,229,35.27142857,228.2571429,1197.637143,238.4944444
1957,47.3,166,1833.6,460.3,34.8,401,3236.8,36.8,100.4,605.4,1428.6,122.8,119.7,415.1,1618.3,150.8,112,203.7,1824.6,85.1,76.8,31.1,984.4,38.3,39,76.3,1112.7,49.6,81.1,39.5,1238.6,18.4,78,13.4,861.2,14.4,44.6,20,880.5,10.5,60,36.8,874.6,33.8,173,226.7,1240.3,140.6,53.4,38.7,466.2,58.9,109.1,47.9,490.5,63.1,218.9,432.2,917.9,253.8,328.7,478,450.4,263.1,19.7,20.5,217.2,9.6,26.6,17.7,600.6,17.4,12.6,40,765,15.2,21.8,87.9,884.1,7.1,2.3,6,623.6,15.9,0,32.3,2951.1,140.1,0.1,62.6,675.1,112,3.6,58.5,781.3,57.3,11,91.5,939.8,28.5,25.1,82,1087,28.3,2.5,63.7,799,152.4,7.7,75.8,824.1,75.6,1.4,63.7,358.5,148.2,11.5,111,263.6,480.8,0,178.1,2658.7,338,0.9,101,538.6,197.3,4.6,208.2,828.2,168.9,17.2,477.2,2107.4,501.5,12.3,253.9,636.1,444.9,53.07714286,150.3828571,1085.662857,131.6472222
1958,37.2,410.2,1710.4,649.6,254.2,962.9,2137.9,321.5,63,747.9,1579.8,235.7,93.4,512.6,1119,243.5,25.6,404.8,2239.4,150.4,38.4,109.5,885.1,118.2,54.3,87.8,1212.6,269.3,51.3,56.9,960.3,112,18.7,47.2,1018.8,82.7,17.8,11.5,872.8,114.8,10.5,9.6,1013.2,132,75.6,88.3,1201.5,133.6,4.8,11.7,623.1,33.4,13,11.7,714.8,88.5,106.4,199.4,1017.9,248.6,124.5,308.6,782.5,134.8,2.2,3.8,233.3,24.7,4.6,2.7,713.7,21.7,4.5,5.6,1021.2,68.5,25.1,21.5,1011.8,113.1,1,2,1063.2,56.9,0.3,44,3886.3,69.7,1.6,61.9,903.9,86.7,0.1,42.3,892.6,89.5,7.8,41.3,1018.5,104.6,48.3,57.9,1252.5,162.3,9.2,69.1,851.3,675.7,7.1,48.8,967.3,90.8,8.8,79.3,409.5,310.7,18.1,191.3,308,335.2,0.6,233.1,3287.9,165.9,2.2,153.6,480.9,115.3,2.7,115.3,1071.8,91.1,23.7,545.9,1948.7,404.8,1.8,124,646.1,220.7,33.09714286,166.4,1173.074286,174.3472222
1959,11.9,356.1,2271.7,703.6,124.3,897.3,3475.2,NA,76.4,724.6,1424.6,310.1,117.6,482,1371.2,356.8,105.5,394.6,1734.2,346,46.3,137,1297.7,332,30.9,72.1,1218.2,174.7,57.1,79,1190.9,272.8,82.7,63.7,799.3,233.9,57.4,44.9,639,127.9,50.2,41.1,610.3,66.6,161.2,127.4,1339.3,115,36.4,17.4,395.7,35.4,64.7,35.2,553.5,46.4,379.2,190.8,933.8,136.5,234.3,205.3,961.2,149.6,3.5,14.5,306.1,11.2,6.1,38.9,690.5,50.8,23.1,26.1,1054.5,77.8,52.9,39.8,1147.7,62,0,4.2,1430.1,126.4,0,42.2,3319.9,226.5,2.4,56.1,920.7,139.7,1.5,22.8,808.3,117.7,14.8,18.4,1493.1,80,35.2,19.3,1420.3,69.4,16.4,26.3,843.1,234.9,1.4,20.3,1128,74.5,5.4,58.4,417.5,154.4,38.5,119.7,305.3,430.8,0,234.8,3947.1,148.9,0.1,70.6,557.7,70.1,0.3,150.2,661.2,178.2,24.3,504.2,2831.2,386.3,15,380.1,877.9,310.6,53.62857143,163.2971429,1267.885714,181.6428571
1960,176.6,601,1563,684.5,49.8,777.6,3138.5,172.1,11.2,399.9,1837,94,6.1,252.8,1323.5,217.5,6.6,350,2182,71.9,2,154.2,1017.7,71.6,6.2,106.8,1331.8,148.2,7,63.3,1133,45.4,1.5,97.9,1108.7,39.9,9.7,45.1,977.8,137.4,11.7,42.1,886.4,189.7,81.5,154.6,1209,95.1,11.3,30,637.5,44.1,14.3,42,529.9,20.8,83.6,221.1,733.3,77.2,58,221,443.1,44.2,0.2,4.9,206.7,6.1,1.8,13.5,567.3,8.9,25.2,20.3,782.1,54.6,46.9,32.1,1067.4,105.6,1.6,8.2,633.3,6.5,0,82.1,2847.8,97.7,3.6,69.5,748.4,64.4,3.6,68.3,573.8,92.6,38.8,55.9,888.4,81.9,18.6,65.8,1167.6,112.3,1.6,44.7,743.9,153.4,0.7,58.8,707.1,72.8,0.5,53.1,396.5,294,15.4,141.9,346.7,509.9,0,442.9,2804.7,256.6,0,111.6,526.5,53.4,5.5,226.7,996.2,181.1,17.8,791,1939.2,637.5,69.6,585.8,823.8,422.6,22.52857143,183.9,1109.131429,149.0416667
1961,181.5,1094.5,1857.3,805,145.7,587.2,3896.1,330.3,31.2,732.6,1261.7,169.8,47,482.4,1250.5,121.3,50.4,338.1,1780.8,135,86.8,111.6,990.1,101.9,132.1,78.9,1542.1,192.2,93.2,35.6,1270.2,161.5,47.5,37.3,926.3,246.9,50.3,8.3,939.6,216,77.7,9.8,956.9,153.9,260,85.6,1409.4,193.3,70.2,16,500.1,41.6,91.2,21.8,545.4,31.7,311,207.1,876.3,121,161.2,217.2,642.7,117.1,17.7,12.2,365.5,4.9,18.9,5.6,829.8,29.9,23.9,8.2,1263.5,138.2,40.3,18,1453.7,86.8,0.6,0.6,927.6,16.2,5.2,184.5,3480.1,251.3,0.4,114.5,815.2,140.4,1,48,664.9,245,6.7,31.2,1253.1,149.7,46.6,32,1779.5,115.9,37.9,55.7,692.5,333.2,6.9,60.6,864.1,215,10.4,44.9,387.7,208.5,88.6,98,405.7,318.3,0,683.6,4536.9,333.4,0.6,140.6,456.9,150.6,8.3,205.4,794.2,299.3,45,606,3229.3,377.6,107.7,452.4,1334.5,340.7,65.82,196.1714286,1319.434286,191.4833333
1962,167.3,374.1,1671.9,746.4,158.1,665,1244.7,129,52.5,521.1,1587.3,135,37.8,301.9,1352.4,130.4,54.7,390.3,1996.4,80.3,21.9,140.9,869.7,141.1,13.4,89.8,1072.2,171.2,23.2,61.9,897.9,64.8,20.8,69.1,1012.4,75.7,45.6,17.2,1001.4,7.7,52.6,18.1,719.7,7.8,165.8,117.4,1292.8,71.5,31.5,10.5,459.6,9.4,53.8,52.1,641.5,22,147.9,240.9,888.6,116.1,117.4,202.5,482.3,128.1,1,12.3,247,2.3,2.6,8.6,583.4,9.5,11.6,20.3,845.5,28.6,36,40.4,937.9,54.1,0,5,756.2,11.8,0.2,130.3,3196.8,157.9,0.3,76.8,698.3,123.6,3.4,84,728.9,129.4,10.2,73.1,966,103.3,19.6,62.3,988.1,54.7,12.3,105.1,819.6,408.5,25.3,69.4,908.7,135.4,5.9,127.7,352.5,330.3,33.6,176.2,345.9,385.9,3.6,391.1,3207.7,415.3,5,114.3,532.6,187.2,3.9,142.7,631.1,215.1,83.1,607.1,2101.6,584,11.1,412.7,842.3,320.5,40.94285714,169.4914286,1053.74,158.1638889
1963,106.7,336.8,1953.5,584.7,113.8,456.5,1515.1,124.2,11.2,522.8,1797.1,180.7,4.6,508.4,2075.9,381.1,2.7,459.7,1965.1,177.2,2.7,170.9,974.4,141.5,7,146.1,1198.1,210.8,10.6,100.8,963.4,240.1,5.1,105.9,1058.6,156.6,17.1,38,906.7,34.5,18.5,18.4,877.2,15.6,52.8,231.6,1422.5,95,7.2,10.4,488.9,15.4,14.9,50,390,21.3,71.3,297.9,854,131.3,36.4,523.1,193.1,156.5,0.7,10.5,153,10.3,1.9,5.7,544.7,25.4,11.6,9.4,824.8,59.5,20.7,32.5,1030.1,36.8,1.4,1.6,935.3,59.5,0.1,8.8,3494.3,103.6,5.1,49.3,732.3,113.2,6.2,36.1,863.8,95.1,10.9,47.2,1008,81.8,5.8,82,1156.7,92.7,0,80.7,571.4,371.8,0.3,48.5,870.1,91.2,7.4,74.6,404.4,222.7,81,140.7,346.8,504.3,1.8,153,2764.7,251.8,11,147.2,445.4,179.6,0.1,75.2,890.3,203.7,55,323.2,1848.5,424.4,239.6,283.7,971.7,407.1,26.94857143,159.6342857,1099.711429,166.6944444
1964,87.4,551.8,1745.9,669.8,58.8,408.5,1121.2,80,32.2,646.4,1824.8,226.2,41.1,651.7,1297.4,338.4,1.2,321,2504.7,154.5,13.8,161.1,971.6,132,30,94,1138.3,92.3,14.3,77.4,983.2,75.4,4.7,83.6,965.1,69.1,8.2,47.3,953.6,27.6,3.1,22.6,962.9,13.4,162.2,218.6,1356.2,32.6,6.2,15.9,682.1,6.7,16.7,28.2,654.3,9.6,235.5,268.2,809.1,41.4,186.9,272,423.5,63.9,0.9,14.6,321.2,0.7,0,30.7,614.5,1.2,0.1,10,866,4.1,8.3,6,1150.6,22.4,0.1,4,888.1,0.5,0,6.1,3009.4,177.3,0,17.3,844,84.3,0.2,7.9,737.5,35.1,2,4.8,960.2,43.7,23,14.9,1358,113.3,11.9,40.6,867,141.5,0.2,8.3,830.1,48.9,0,13.9,584.5,193.1,2.7,83.8,399.1,424.9,0,31.8,2837.8,271,0.8,35.8,727.6,135.6,1.2,71.3,597.5,65.1,8.8,245.2,2079.8,535.2,6,109.8,1300.2,235.7,27.67142857,132.1457143,1124.771429,126.8472222
1965,42.2,368.5,1774.3,978.8,95.7,560.7,1385.9,96.8,78.7,537.7,1626.7,155.7,63.4,264.7,1479.1,223.7,22.1,350.1,2318.2,72.3,34.2,124.5,1024.5,80.5,27.8,134.7,926.2,85.9,9.5,72.8,889.7,40.4,1.7,30.4,944.3,26.3,2.8,32,601.1,49.6,18.4,42.2,586.9,26,204,225.4,828.6,47.7,17.7,36.3,316.7,11.3,37,70.9,300,15.3,261.6,441.4,460.4,57,200.4,433.1,194.7,84.4,4.9,13,193.9,3.5,8.8,8.3,399,7.8,5.5,4.2,568.5,16.5,5.4,28.4,643.5,20.5,7.4,2.2,643.6,3.5,3.4,5.8,2967.6,94.8,6.1,22.9,718.7,43,7,10.3,597.4,16.7,23.6,21.9,696.2,1.9,10.2,45.1,881.2,4.9,2.6,79.2,583.9,88.6,3.5,13.9,761.3,0.1,1.2,61.2,403.9,129.7,9,114.8,351.4,446.6,2.5,49.4,2574.2,205,1.3,31.7,566.4,33.5,5.2,118.1,617.8,269.8,10,352.6,1508.9,470.9,7.5,205.8,724.9,467.7,35.49428571,140.4057143,915.9885714,121.575
